# x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
779.43,780.4,801,826.73,892.82,1000.5,1059.9,1077.7,1098.5,1106.2,815.67,750.29,636.2,570.4,508.95,502.12,559.49,626.55,740.59,804.24
780.23,783.53,804.57,828.65,892.63,1000.5,1058,1074,1094.8,1105.1,813.37,747.6,632.95,566.51,504.33,497,554.55,623,737.4,801.04
780.72,786.63,808.56,830.29,892.68,1000.7,1056.5,1069.9,1091.2,1104,811.22,745.35,629.92,562.67,499.86,492.13,550.3,619.18,734.32,798.12
781.42,789.85,812.27,832.05,892.71,1000.6,1054.7,1066.2,1087.8,1102.8,808.74,743.17,626.83,558.93,495.55,487.82,546.25,615.66,730.68,794.09
782.5,793.33,816.41,834.08,892.7,1000.6,1053.2,1062.5,1084.7,1101.3,805.5,740.55,623.66,555.17,490.9,483.39,541.86,611.65,727.49,790.4
783.76,796.57,820.09,835.83,892.69,1000.4,1050.8,1059,1081.5,1099.5,802.52,737.87,620.51,551.7,486.83,478.79,537.46,607.78,723.67,786.5
784.61,799.98,823.86,837.52,892.7,1000.5,1049.8,1056,1078.3,1098,799.48,734.7,617.43,547.89,482.84,474.5,533.41,604.19,720.08,782.78
785.84,803.28,827.47,839,892.71,1000.5,1048.2,1053.5,1075,1096.2,795.72,731.64,613.94,544,478.63,470.5,529.36,600.96,716.61,778.83
787.06,806.37,830.49,840.58,892.56,1000.4,1047.4,1049.9,1072,1094.2,792.21,728.26,610.82,540.18,474.58,466.43,525.46,596.47,712.86,775.13
788.8,809.64,833.9,841.95,892.56,1000.3,1045.3,1047.1,1069.1,1092.3,788.46,725.31,607.67,536.93,470.44,462.24,521.75,592.94,709.5,771.53
790.1,812.82,836.77,843.13,892.26,999.88,1043.6,1045,1066.2,1089.9,785.35,721.9,604.25,533.65,466.38,458.16,517.84,589.51,705.82,767.71
791.79,816.17,839.94,844.65,891.73,999.8,1042.5,1042.9,1063,1087.3,781.55,718.4,601.06,529.98,462.96,454.78,514.94,585.63,702.05,764.44
793.71,818.53,842.75,846.12,891.61,999.34,1041.3,1041,1060.7,1085.2,777.71,715.31,597.84,526.12,459.36,450.92,511,581.79,698.95,760.81
795.67,821.54,845.53,846.83,891.49,999.31,1040.4,1039.3,1058.2,1082.8,773.98,712.04,594.1,523.3,455.4,447.16,507.55,578.1,695.34,758.03
797.68,824.34,847.57,847.95,891.45,999.31,1039.4,1037,1055.7,1080.1,770.65,708.48,590.96,519.82,451.94,443.69,503.46,574.32,691.98,754.87
799.86,826.74,849.7,848.96,891.15,999.13,1038.4,1035.7,1053.4,1077.5,767.39,705.47,587.83,516.2,448.06,439.96,499.33,570.79,689.07,752.31
802.36,829.89,851.65,849.48,890.92,998.94,1038.8,1034.4,1051.4,1074.2,764.26,701.91,584.35,513.07,444.8,436.19,496.47,567.42,686.02,749.41
804.86,831.96,853.19,850.73,890.83,998.74,1038.3,1033.9,1049.6,1071.4,761.39,698.87,580.85,509.73,441.28,432.43,492.35,563.68,683,746.65
807.12,834.57,854.9,850.88,890.44,998.55,1037.6,1033.3,1047.6,1068.6,758.85,695.96,577.65,506.31,438.42,428.94,489.11,560.23,680.2,744.63
810.25,836.88,856.27,851.21,890.44,998.49,1036.9,1032.6,1045.8,1065,756.02,693.04,574.22,502.84,434.73,425.64,485.6,557.22,677.52,742.5
812.68,838.86,856.56,851.67,890.25,998.37,1037,1033,1043.8,1062,753.82,690.19,571.35,499.83,431.46,422.09,482.8,553.89,674.65,740.09
816.05,840.78,857.38,851.71,890.13,997.96,1036.4,1032.8,1042,1058.9,751.68,687.34,567.8,496.79,428.2,418.68,479.94,550.39,672,738.14
818.95,842.69,858.47,852.05,889.94,997.93,1036.3,1031.2,1040.9,1055.2,749.44,684.96,564.8,493.61,425.21,415.7,476.84,547.46,669.39,735.9
822.02,844.31,859.12,852.32,889.71,997.53,1035.9,1031,1039.2,1051.7,747.55,682.06,561.56,490.78,421.69,412.51,473.74,544.35,667.35,733.83
825.12,846.36,858.89,852.46,889.2,997.22,1035.8,1029.9,1036.4,1048.4,745.97,679.98,558.76,487.49,418.86,409.42,470.91,541.04,664.6,731.94
828.64,848.1,858.79,852.32,889.14,997.14,1035.3,1031.1,1034.8,1045,744.21,677.65,555.74,484.22,416.02,406.65,467.74,538.68,661.77,730
832.05,850.13,858.91,852.42,889.09,997.15,1035.1,1031.9,1033.2,1041.1,742.4,675.4,553.02,481.58,413.13,403.57,464.85,536,659.72,727.94
835.74,851.29,859.5,851.95,889,997,1035.5,1032.2,1032,1037.6,740.88,673.22,549.79,478.83,410.41,401.15,462.02,533,657.5,725.97
839.23,853.06,858.77,852.1,889,996.79,1035.9,1032.8,1030.5,1033.8,739.33,671.13,547.4,475.85,407.76,398.26,459.39,529.92,654.47,723.97
842.7,854.5,858.96,851.87,888.73,996.77,1036,1032.9,1029.3,1029.9,737.73,669.39,544.69,473.26,405.1,395.54,456.82,527.62,652.19,721.75
846.4,856.45,858.75,851.76,888.56,996.53,1036.6,1032.8,1028,1026.4,736.29,667.06,541.84,470.76,402.73,392.69,454,525.05,650.06,719.65
850.07,857.59,858.52,851.45,888.42,996.35,1036.9,1032.9,1026.7,1022.6,734.77,665.06,539.42,468.1,400.18,390.42,451.73,522.88,647.47,717.56
854.02,859.38,857.86,850.85,888.35,996.16,1037.1,1033.7,1025.5,1019.3,733.05,662.82,537.6,466.26,397.9,388.35,449.34,519.91,645.48,715.61
857.78,860.69,857.9,850.38,888.07,996.06,1037,1034.2,1022.9,1015.6,731.4,660.78,535.42,463.65,395.47,386.31,447.07,517.69,643.68,713.32
861.87,862.31,856.83,850.26,887.55,995.85,1037,1034.3,1021.3,1012,729.57,659.1,533.05,461.36,393.02,383.93,445,515.85,641.21,710.66
865.38,863.26,856.26,850.09,887.77,995.73,1037.1,1034.9,1020.2,1008.6,727.75,656.9,531.02,459.2,390.93,381.57,442.62,513.34,639.15,708.24
869.16,864.86,855.63,849.6,887.56,995.45,1037.2,1035.3,1018.9,1005,725.8,655.27,528.86,457.34,388.92,379.55,440.3,511.25,636.37,705.57
873,866.04,855.3,849.42,887.56,995.38,1037.1,1035.7,1017.1,1001.6,723.94,653.08,526.89,455.42,386.92,377.53,438.19,509.19,634.41,702.94
876.86,867.26,854.14,849.26,887.26,995.23,1037.1,1035.8,1016,997.82,721.94,651.3,525.07,453.49,385.14,375.49,436.35,507.42,631.92,700.02
880.57,868.85,853,848.8,887.18,995.17,1037.4,1035.9,1014.5,994.7,719.94,649.33,523.5,451.54,383.33,373.43,434.76,505.46,629.92,697.68
884.47,870.17,852.36,848.31,887.07,995.09,1037.4,1036.2,1015.3,991.32,717.87,647.25,521.6,449.97,381.47,371.98,433.18,503.59,627.72,695.13
888.18,871.28,851.85,847.5,886.96,995,1036.8,1036.3,1013.5,987.91,715.41,645.39,519.8,448.42,379.47,370.21,431.3,501.93,625.51,691.96
891.85,872.61,851.07,847.21,886.73,994.8,1037.5,1036.7,1011.9,984.72,713,643.45,518.56,447.05,377.9,368.44,429.5,500.36,623.17,689.38
895.59,873.95,850.15,846.44,886.52,994.35,1037.4,1036.7,1010.4,981.44,710.48,641.6,517.27,445.44,376.35,366.59,427.58,499.07,620.85,686.05
899.07,874.96,850.08,846.54,886.44,994.44,1037.5,1036.8,1008.4,978.54,707.87,639.66,515.65,443.78,374.93,365.56,425.91,497.72,617.63,683.44
902.5,876.16,849.17,846.81,886.02,994.26,1037.8,1036.2,1006.8,975.43,705.5,637.51,514.58,443.06,373.34,363.67,424.72,496.2,615.66,680.12
